USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
andrius,omnitel,cm10.1,3,1,1367005062533,TCP,com.google.android.gms,1,1360,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,3,1,1367005063530,TCP,com.google.android.gms,1,1058,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,3,1,1367005063530,TCP,com.google.android.gms,-1,52,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,-1,62,10.139.202.228,194.176.32.163,31147,53,,,
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,-1,65,10.139.202.228,194.176.32.163,34918,53,,,
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,-1,62,10.139.202.228,194.176.32.163,40683,53,,,
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,-1,64,10.139.202.228,194.176.32.163,27512,53,,,
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,1,169,194.176.32.163,10.139.202.228,53,31147,,,
andrius,omnitel,cm10.1,4,1,1367005071923,TCP,com.facebook.katana,-1,60,10.139.202.228,31.13.64.32,43225,443,1,0,0
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,-1,64,10.139.202.228,194.176.32.163,44707,53,,,
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,1,171,194.176.32.163,10.139.202.228,53,34918,,,
andrius,omnitel,cm10.1,4,1,1367005071923,TCP,com.facebook.katana,-1,60,10.139.202.228,69.171.245.80,55307,5228,1,0,0
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,1,169,194.176.32.163,10.139.202.228,53,40683,,,
andrius,omnitel,cm10.1,4,1,1367005071923,TCP,com.facebook.katana,-1,60,10.139.202.228,31.13.64.32,60873,443,1,0,0
andrius,omnitel,cm10.1,4,1,1367005071923,UDP,root,1,189,194.176.32.163,10.139.202.228,53,27512,,,
andrius,omnitel,cm10.1,4,1,1367005071923,TCP,com.facebook.katana,-1,60,10.139.202.228,31.13.64.32,37036,443,1,0,0
andrius,omnitel,cm10.1,5,1,1367005073345,UDP,root,1,189,194.176.32.163,10.139.202.228,53,44707,,,
andrius,omnitel,cm10.1,5,1,1367005073345,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,43225,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073345,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073345,TCP,com.facebook.katana,-1,60,10.139.202.228,31.13.64.32,52063,443,1,0,0
andrius,omnitel,cm10.1,5,1,1367005073345,TCP,com.facebook.katana,-1,268,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073345,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,60873,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,268,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,1,60,69.171.245.80,10.139.202.228,5228,55307,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,52,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,268,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,37036,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,268,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,60873,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073346,TCP,com.facebook.katana,-1,64,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,60,69.171.245.80,10.139.202.228,5228,55307,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,-1,64,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,52063,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,60,31.13.64.32,10.139.202.228,443,37036,1,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,-1,64,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,1360,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,732,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073347,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073355,TCP,com.facebook.katana,1,1360,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073355,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073355,TCP,com.facebook.katana,1,732,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073355,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073355,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,1,1360,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,1,732,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,-1,268,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073443,TCP,com.facebook.katana,1,52,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073463,TCP,com.facebook.katana,1,1360,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073463,TCP,com.facebook.katana,-1,52,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073463,TCP,com.facebook.katana,1,732,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073463,TCP,com.facebook.katana,-1,52,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073463,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,1,1360,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,1,732,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,238,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,238,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,238,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073678,TCP,com.facebook.katana,-1,238,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,238,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,1,99,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,1003,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,1,99,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,647,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,364,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073807,TCP,com.facebook.katana,-1,260,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073836,TCP,com.facebook.katana,-1,244,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073836,TCP,com.facebook.katana,-1,247,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073836,TCP,com.facebook.katana,-1,430,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073836,TCP,com.facebook.katana,-1,246,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073837,TCP,com.facebook.katana,-1,256,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073837,TCP,com.facebook.katana,-1,120,10.139.202.228,31.13.64.32,37036,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073837,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073837,TCP,com.facebook.katana,1,99,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073837,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,-1,1360,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,-1,817,10.139.202.228,31.13.64.32,52063,443,0,1,0
